Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
CS 618,Theoretical Foundations of Machine Learning,3,0,0,4,Anirban Dasgupta(I),,20,,"N1,N2
 (11/205)",,,Course Plan,,,,
CS 619,CS Theory Tool Kit,3,0,0,4,Bireswar Das(I),,15,,"L1,L2
 (13/125)",,,,,,,
CS 620,Incentives and Machine Learning,3,0,0,4,Manisha Padala(I),,40,,"N1,N2
 (7/101)",,,Course_Proposal_Incentives_and_Machine_Learning.docx,,,,
CS 691-VIII,Algebraic Complexity Theory,3,0,0,4,Balagopal Komarath(I),,40,,"I1,I2
 (11/205)",,,Course Plan,,,,
,,,,,,,,,,,,,,,,,
Additional courses EE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ES 417,5G and Beyond: An Introduction,3,0,0,4,Sameer Kulkarni(I),,40,,"L1,L2
 (11/206)",,,Course Plan,,,,
EE 426,Electric Vehicle Technology,3,0,0,4,Pallavi Bharadwaj(I),,7,,"L1,L2
 (11/204)",,,Course Link,,,,
EE 617,VLSI Design,3,0,0,4,"Joycee Mekie(I), Dinesh Sharma(I)",,40,,"F1,F2
 (10/202)",,,EE 617 VLSI Design,,,,
EE 644,Physics of Transistors,3,0,0,4,Jhuma Saha(I),,27,,"G1,G2
 (7/209)",,,Course plan link,,,,
EE 648,Dynamic Behaviour of Electric Machines,3,0,1.5,5,Ragavan K(I+L),,15,,"E1,E2
 (11/206)",,"I1
(EE Lab)",EE 648-Dynamic Behaviour of Electric Machines,,,,
ES 414,Introduction to Photonics,3,1,0,4,Arup Chakraborty(I+T),,9,,"P1,P2
 (13/125)","J1
 (13/125)",,course plan,,NOTE: The course will be offered as a 6xx level course. The code will be changed in due course. ,,
